microorganism	locus_tag	log2FoldChange	padj	diffexpr
B. bifidum	BbifJCM1254_09610	-4.76106073201185	2.6513340607341e-75	Downregulated
B. bifidum	BbifJCM1254_13340	-4.58675146389906	6.40598015005631e-74	Downregulated
B. bifidum	BbifJCM1254_02840	-5.14093432803921	2.0507349558888e-66	Downregulated
B. bifidum	BbifJCM1254_01140	-4.6156527542109	1.43510105127709e-65	Downregulated
B. breve	BBBR_1177	-6.41462964019307	3.57329045569956e-64	Downregulated
B. bifidum	BbifJCM1254_05750	-4.85092105050715	1.04873958118813e-62	Downregulated
B. bifidum	BbifJCM1254_14660	-4.30973945885137	1.22111015654969e-61	Downregulated
B. bifidum	BbifJCM1254_08470	-5.23077566814641	1.50878092090096e-61	Downregulated
B. breve	BBBR_1484	-6.11987978979785	2.29375426736261e-61	Downregulated
B. breve	BBBR_1204	-6.25707606787885	5.87307689865835e-60	Downregulated
B. bifidum	BbifJCM1254_12100	-5.0884909967676	4.63433317081914e-59	Downregulated
B. breve	BBBR_0705	-7.43436658643666	1.10888677374409e-58	Downregulated
B. breve	BBBR_0510	-8.13905922056778	1.79875395501414e-56	Downregulated
B. bifidum	BbifJCM1254_14670	-4.46142758437062	1.16116709479048e-55	Downregulated
B. breve	BBBR_0435	-6.64599032786675	1.22569928336034e-53	Downregulated
B. breve	BBBR_1573	-7.0122244185594	8.808334218593e-53	Downregulated
B. breve	BBBR_0349	-6.79396439179323	1.40027733132896e-52	Downregulated
B. bifidum	BbifJCM1254_17780	-5.28564302911239	1.19478663597868e-51	Downregulated
B. bifidum	BbifJCM1254_09020	-4.2981203714475	1.50192633695191e-51	Downregulated
B. bifidum	BbifJCM1254_07740	-5.57342203819117	2.08549341243152e-51	Downregulated
B. bifidum	BbifJCM1254_05760	-4.6929896918086	2.49506950771904e-51	Downregulated
B. bifidum	BbifJCM1254_09160	-4.29228180988676	9.64038661474632e-51	Downregulated
B. bifidum	BbifJCM1254_09130	-4.46346671931646	2.15950494261064e-50	Downregulated
B. bifidum	BbifJCM1254_08040	-4.83491694936256	2.52127165021959e-50	Downregulated
B. bifidum	BbifJCM1254_12000	-4.98244562342506	2.90374617721748e-50	Downregulated
B. bifidum	BbifJCM1254_12670	-3.95062760890219	5.5088743984263e-50	Downregulated
B. breve	BBBR_1685	-6.29008403664769	2.78546356475985e-49	Downregulated
B. breve	BBBR_0059	-6.0971907011477	5.65892730640399e-49	Downregulated
B. breve	BBBR_0240	-6.19630379012665	1.12474964515315e-48	Downregulated
B. bifidum	BbifJCM1254_17750	-5.02151883511168	1.24588858608011e-48	Downregulated
B. breve	BBBR_1654	-7.18781811175685	2.02179763389107e-48	Downregulated
B. breve	BBBR_0308	-7.0457895996031	4.99569134731046e-48	Downregulated
B. bifidum	BbifJCM1254_17360	-4.56200906929428	6.55071250151413e-48	Downregulated
B. bifidum	BbifJCM1254_09040	-4.73065992937628	3.29525914281533e-47	Downregulated
B. breve	BBBR_0442	-7.50463946312644	6.59057978546564e-47	Downregulated
B. bifidum	BbifJCM1254_17930	-4.6101073585056	9.79537860768263e-47	Downregulated
B. breve	BBBR_1502	-6.65023218110241	2.12009387225107e-46	Downregulated
B. breve	BBBR_1594	-6.45789514549072	2.1391205339432e-46	Downregulated
B. breve	BBBR_1625	-6.18798457442521	2.14123514504254e-46	Downregulated
B. bifidum	BbifJCM1254_14650	-4.9149704613555	8.69360894298499e-46	Downregulated
B. breve	BBBR_0959	-6.66495112557752	1.17479183747144e-45	Downregulated
B. breve	BBBR_0263	-5.23203741666905	1.9550140810023e-45	Downregulated
B. bifidum	BbifJCM1254_02800	-4.77232684022147	3.77695016014005e-45	Downregulated
B. breve	BBBR_1605	-7.17420466737707	4.13969312450241e-45	Downregulated
B. breve	BBBR_1380	-5.52537571643595	4.59477510526135e-45	Downregulated
B. breve	BBBR_1640	-6.12340037310746	4.96510249816467e-45	Downregulated
B. bifidum	BbifJCM1254_08900	-4.63216172305563	1.00847180741968e-44	Downregulated
B. bifidum	BbifJCM1254_02860	-5.22432037950298	1.65331751609367e-44	Downregulated
B. breve	BBBR_0423	-6.56849604993218	2.67445581031806e-44	Downregulated
B. bifidum	BbifJCM1254_03330	-5.04738888647926	3.78784885408339e-44	Downregulated
B. bifidum	BbifJCM1254_06150	-4.58370399797604	4.08193746923673e-44	Downregulated
B. bifidum	BbifJCM1254_14710	-5.00162221253988	5.91636131406613e-44	Downregulated
B. breve	BBBR_1548	-5.5643190227821	7.96874282071277e-44	Downregulated
B. breve	BBBR_0062	5.40526326554623	1.89517114674846e-43	Upregulated
B. bifidum	BbifJCM1254_01660	-4.64604716106347	2.13333785885746e-43	Downregulated
B. breve	BBBR_0868	-5.97108162553612	2.44125157066012e-43	Downregulated
B. breve	BBBR_1641	-6.71340800310212	3.69933720677189e-43	Downregulated
B. breve	BBBR_0434	-6.99154993142658	7.00388912933275e-43	Downregulated
B. breve	BBBR_1619	-6.64824665731511	9.14986038481533e-43	Downregulated
B. bifidum	BbifJCM1254_01650	-4.75716644735062	1.27579785802679e-42	Downregulated
B. breve	BBBR_1686	-6.97944025509751	2.6144543844459e-42	Downregulated
B. breve	BBBR_1620	-7.01971171769579	2.80038537913316e-42	Downregulated
B. breve	BBBR_0711	-8.69700251812817	6.76620163690555e-42	Downregulated
B. breve	BBBR_1534	-6.46645220703991	6.886081512709e-42	Downregulated
B. breve	BBBR_0422	-6.48108032774025	9.25900837775043e-42	Downregulated
B. breve	BBBR_0600	-6.69140755244825	9.57908363738024e-42	Downregulated
B. bifidum	BbifJCM1254_09200	-5.2965697450129	1.35245534959016e-41	Downregulated
B. bifidum	BbifJCM1254_13360	-4.97172208086673	1.49929534542484e-41	Downregulated
B. bifidum	BbifJCM1254_08460	-5.34260611638653	3.18783920837948e-41	Downregulated
B. breve	BBBR_0007	-7.90932452280926	3.3108398517276e-41	Downregulated
B. breve	BBBR_0576	-6.40457244889245	4.87232596702344e-41	Downregulated
B. bifidum	BbifJCM1254_10410	-4.67450960790777	4.9391918850275e-41	Downregulated
B. bifidum	BbifJCM1254_17680	-4.74551714802622	7.19882616638868e-41	Downregulated
B. breve	BBBR_0410	-7.08051435924174	7.19882616638868e-41	Downregulated
B. breve	BBBR_0952	-4.93250592431933	1.36936817765312e-40	Downregulated
B. breve	BBBR_1728	-6.02559175904078	1.40926182501276e-40	Downregulated
B. bifidum	BbifJCM1254_13420	-5.04273132938456	2.51202709682223e-40	Downregulated
B. breve	BBBR_0723	-6.4578745431888	2.87834186632713e-40	Downregulated
B. breve	BBBR_0779	-10.385157484834	4.29835478700211e-40	Downregulated
B. breve	BBBR_0533	-7.5804228843534	5.12358886709661e-40	Downregulated
B. bifidum	BbifJCM1254_09240	-4.61369425738633	5.74696903976911e-40	Downregulated
B. breve	BBBR_1708	-5.91385258690279	6.87655806587114e-40	Downregulated
B. breve	BBBR_0759	-6.6120311367517	7.56434382125535e-40	Downregulated
B. bifidum	BbifJCM1254_09230	-4.44284335146802	8.13241725581253e-40	Downregulated
B. breve	BBBR_1631	-6.14751690800263	3.93139457032859e-39	Downregulated
B. bifidum	BbifJCM1254_05080	-4.99773878782553	5.07945259583883e-39	Downregulated
B. breve	BBBR_1593	-5.17253240056781	9.1614461986783e-39	Downregulated
B. breve	BBBR_0610	-6.33971841634555	2.02905670926051e-38	Downregulated
B. bifidum	BbifJCM1254_06810	-5.24207496212819	2.36644318518497e-38	Downregulated
B. breve	BBBR_0002	-7.47412499807616	4.655898529295e-38	Downregulated
B. breve	BBBR_1085	-6.02126740463231	4.9095288372598e-38	Downregulated
B. breve	BBBR_0154	-6.98464778690012	1.24140489745594e-37	Downregulated
B. bifidum	BbifJCM1254_11540	-4.7358848337113	1.26447511395392e-37	Downregulated
B. breve	BBBR_1720	-4.61058962388562	1.49244951660269e-37	Downregulated
B. bifidum	BbifJCM1254_09050	-4.5414780815926	2.27337003486243e-37	Downregulated
B. breve	BBBR_1581	-9.68671664586623	2.27337003486243e-37	Downregulated
B. breve	BBBR_1629	-6.72884406063213	2.40531058981663e-37	Downregulated
B. breve	BBBR_0320	-6.87843293448117	2.56166565685661e-37	Downregulated
B. breve	BBBR_1212	-7.74970650481882	2.56957868900694e-37	Downregulated
B. breve	BBBR_1785	-5.63918379979865	2.70537903023249e-37	Downregulated
B. bifidum	BbifJCM1254_08990	-4.44523733493379	2.80435236060697e-37	Downregulated
B. breve	BBBR_0011	-6.93920280974392	2.84775058880599e-37	Downregulated
B. bifidum	BbifJCM1254_03690	-5.30802598340084	2.99371028130659e-37	Downregulated
B. bifidum	BbifJCM1254_11200	-4.27363189085752	4.5743819190512e-37	Downregulated
B. breve	BBBR_0976	-6.77898370061	4.84790196391576e-37	Downregulated
B. breve	BBBR_1599	-6.13092195335662	6.32968873162064e-37	Downregulated
B. breve	BBBR_0266	-5.82656554227457	6.32968873162064e-37	Downregulated
B. breve	BBBR_0675	-4.76819762739183	7.38439624442718e-37	Downregulated
B. infantis	Blon_2419	-5.00418309529866	8.9526950241164e-37	Downregulated
B. breve	BBBR_0866	-7.50310842971463	9.074245050072e-37	Downregulated
B. breve	BBBR_0078	-6.35759751525693	1.28396045491236e-36	Downregulated
B. bifidum	BbifJCM1254_09140	-4.41499751601576	1.62694794467559e-36	Downregulated
B. breve	BBBR_1836	-7.84308165488094	2.22968573454793e-36	Downregulated
B. breve	BBBR_0900	-7.15613187680876	2.86319629675415e-36	Downregulated
B. breve	BBBR_1361	-6.39795493035421	2.99591981215569e-36	Downregulated
B. breve	BBBR_1633	-5.6318773478191	3.03367319382026e-36	Downregulated
B. breve	BBBR_0709	-5.21928890957054	4.23877993130325e-36	Downregulated
B. breve	BBBR_1552	-8.33069077923216	5.50688404511924e-36	Downregulated
B. bifidum	BbifJCM1254_16000	-5.01436204827287	5.76291267314905e-36	Downregulated
B. breve	BBBR_1433	-7.52107183251601	6.18469736732204e-36	Downregulated
B. breve	BBBR_1229	-7.04401453331286	1.20201434185311e-35	Downregulated
B. breve	BBBR_1722	-5.36448116705878	1.3387018553153e-35	Downregulated
B. breve	BBBR_1618	-5.92148280423354	1.43667480469721e-35	Downregulated
B. bifidum	BbifJCM1254_10270	-4.73615757374198	1.57353976941911e-35	Downregulated
B. bifidum	BbifJCM1254_07730	-5.48831870936389	1.60183867213202e-35	Downregulated
B. breve	BBBR_1617	-5.40194252079613	1.88398452369396e-35	Downregulated
B. breve	BBBR_0418	-6.96077529869955	2.26938762262142e-35	Downregulated
B. bifidum	BbifJCM1254_09990	-4.80306389425515	2.79662438555273e-35	Downregulated
B. breve	BBBR_0309	-6.49628944200309	2.85337568299397e-35	Downregulated
B. bifidum	BbifJCM1254_03280	-5.56509722840488	2.97040990020369e-35	Downregulated
B. breve	BBBR_0210	-6.45925699348231	3.01848555279896e-35	Downregulated
B. bifidum	BbifJCM1254_05230	-5.69195065201168	3.01848555279896e-35	Downregulated
B. breve	BBBR_1058	-6.0940058387997	3.04301294484377e-35	Downregulated
B. bifidum	BbifJCM1254_07040	-5.28296378585165	3.04301294484377e-35	Downregulated
B. bifidum	BbifJCM1254_12150	-4.29697264771099	5.74957278670834e-35	Downregulated
B. bifidum	BbifJCM1254_08750	-5.14183248036779	5.76926336882112e-35	Downregulated
B. breve	BBBR_1824	-5.66542586614654	6.42535181184693e-35	Downregulated
B. breve	BBBR_0973	-6.64557029554406	6.97507959167641e-35	Downregulated
B. bifidum	BbifJCM1254_15630	-4.97990064212465	1.12443915051467e-34	Downregulated
B. breve	BBBR_1738	-6.12800730890377	1.13255463000104e-34	Downregulated
B. breve	BBBR_0236	-6.76013447610416	1.42887995889552e-34	Downregulated
B. bifidum	BbifJCM1254_16920	-4.84484133949385	1.48902507147038e-34	Downregulated
B. breve	BBBR_1568	-7.13709511669943	1.75331607175497e-34	Downregulated
B. breve	BBBR_0397	-7.35850946966783	3.09239900907551e-34	Downregulated
B. breve	BBBR_0440	-7.31022486814341	3.49578351374108e-34	Downregulated
B. breve	BBBR_0628	-6.78030241880138	3.55909103795962e-34	Downregulated
B. breve	BBBR_0265	-4.99308136010635	3.63698749091234e-34	Downregulated
B. breve	BBBR_1060	-6.92467169517589	4.38682975644941e-34	Downregulated
B. breve	BBBR_1683	-6.32557988580351	4.66944326713692e-34	Downregulated
B. breve	BBBR_0513	-7.01823352354826	4.93349618663767e-34	Downregulated
B. bifidum	BbifJCM1254_00170	-4.76322627866906	5.91710523289162e-34	Downregulated
B. bifidum	BbifJCM1254_03730	-5.34833730006063	6.43840217445762e-34	Downregulated
B. bifidum	BbifJCM1254_06890	-7.03212966882905	7.83299819701264e-34	Downregulated
B. breve	BBBR_1614	-5.3891366702621	1.28614031553826e-33	Downregulated
B. breve	BBBR_0636	-7.72917224648389	1.3515896620704e-33	Downregulated
B. breve	BBBR_0433	-7.56367364433407	1.39803202815156e-33	Downregulated
B. breve	BBBR_1566	-7.09708580798442	1.6477500255137e-33	Downregulated
B. breve	BBBR_0239	-7.08706042850848	2.23270316864295e-33	Downregulated
B. bifidum	BbifJCM1254_17340	-4.82890191309828	2.36439085032107e-33	Downregulated
B. bifidum	BbifJCM1254_03510	-4.77788716038069	2.36439085032107e-33	Downregulated
B. breve	BBBR_1500	-7.04173030530072	2.72849531797754e-33	Downregulated
B. bifidum	BbifJCM1254_12080	-4.52406877824862	2.87577058931663e-33	Downregulated
B. breve	BBBR_0333	-7.13698766526242	5.28303796741987e-33	Downregulated
B. breve	BBBR_0535	-6.42114590075979	5.90128393989919e-33	Downregulated
B. breve	BBBR_1737	-6.428552103376	5.90128393989919e-33	Downregulated
B. bifidum	BbifJCM1254_11990	-4.30997277273855	5.90128393989919e-33	Downregulated
B. breve	BBBR_0057	-7.92916855534779	7.49659752040239e-33	Downregulated
B. bifidum	BbifJCM1254_13290	-4.70786674742466	9.95390954761614e-33	Downregulated
B. bifidum	BbifJCM1254_08740	-4.84832648145393	1.0158181304093e-32	Downregulated
B. breve	BBBR_1418	-6.77406873741329	1.08095516604521e-32	Downregulated
B. breve	BBBR_0185	-6.14279828856961	1.0960255842932e-32	Downregulated
B. breve	BBBR_1201	-6.76138509188521	1.31083661959639e-32	Downregulated
B. breve	BBBR_1700	-6.07801801308645	1.32183691064571e-32	Downregulated
B. breve	BBBR_1623	-6.01301029976797	3.36465520564116e-32	Downregulated
B. thetaiotaomicron	BT_0687	-7.07578227139885	4.93858691951526e-32	Downregulated
B. bifidum	BbifJCM1254_09220	-4.89240154253402	6.14562030075453e-32	Downregulated
B. bifidum	BbifJCM1254_09100	-4.84323598219663	8.82886468873437e-32	Downregulated
B. breve	BBBR_0944	-4.96819737852268	1.00600023469338e-31	Downregulated
B. bifidum	BbifJCM1254_09030	-4.7036466227654	1.29111558568689e-31	Downregulated
B. bifidum	BbifJCM1254_17670	-4.17355919315312	1.54712198673665e-31	Downregulated
B. breve	BBBR_1324	-6.93001821637317	1.54712198673665e-31	Downregulated
B. breve	BBBR_0429	-6.88861806596548	1.72779535250559e-31	Downregulated
B. breve	BBBR_1913	-5.41528046506001	2.06736302903415e-31	Downregulated
B. breve	BBBR_1337	-7.10657543165385	2.12033856580571e-31	Downregulated
B. bifidum	BbifJCM1254_09090	-5.09635986326262	2.23814129149943e-31	Downregulated
B. breve	BBBR_1615	-5.43124928745219	2.43868817595833e-31	Downregulated
B. bifidum	BbifJCM1254_04030	-4.31326522882463	2.58753006722853e-31	Downregulated
B. bifidum	BbifJCM1254_07600	-7.72110405413573	2.66443256850593e-31	Downregulated
B. bifidum	BbifJCM1254_04980	-4.9930108597868	3.44467953225033e-31	Downregulated
B. bifidum	BbifJCM1254_05560	-4.31229221316015	4.14089846034564e-31	Downregulated
B. bifidum	BbifJCM1254_16190	-4.77211245715737	4.5230070784017e-31	Downregulated
B. breve	BBBR_1757	-7.03301783418175	4.84681205727462e-31	Downregulated
B. bifidum	BbifJCM1254_11300	-4.84214025553053	4.97146883051648e-31	Downregulated
B. breve	BBBR_0975	-8.00417665041416	5.42302098680166e-31	Downregulated
B. bifidum	BbifJCM1254_06730	-4.43498091211674	6.63247400188341e-31	Downregulated
B. breve	BBBR_0891	-8.52864017996342	9.45393408508275e-31	Downregulated
B. breve	BBBR_1519	-5.61365732560922	9.76706421075727e-31	Downregulated
B. breve	BBBR_0260	-5.25971266108535	1.11732245331627e-30	Downregulated
B. breve	BBBR_1326	-6.65859871881652	1.19584887017825e-30	Downregulated
B. breve	BBBR_1927	-7.52778104899338	1.38861450787494e-30	Downregulated
B. bifidum	BbifJCM1254_14930	-4.29285382009173	1.80592207295834e-30	Downregulated
B. breve	BBBR_1621	-5.65595489852313	1.80592207295834e-30	Downregulated
B. breve	BBBR_1579	-8.62812125142417	1.83400848988056e-30	Downregulated
B. breve	BBBR_0345	-5.57488270478561	2.2013930881893e-30	Downregulated
B. breve	BBBR_0209	-6.66596144080651	2.34678915842863e-30	Downregulated
B. bifidum	BbifJCM1254_01430	-6.4134070491742	2.38847377952606e-30	Downregulated
B. bifidum	BbifJCM1254_15280	-4.61199237459996	2.50836552576202e-30	Downregulated
B. breve	BBBR_0603	-6.96646114262997	2.63615166802066e-30	Downregulated
B. breve	BBBR_1508	-7.07241356897389	2.84661000595788e-30	Downregulated
B. breve	BBBR_1364	-5.38619859302275	2.86277921799307e-30	Downregulated
B. breve	BBBR_0859	-6.57856402795537	2.99861606155309e-30	Downregulated
B. bifidum	BbifJCM1254_10340	-5.48511955270717	3.34427983415494e-30	Downregulated
B. bifidum	BbifJCM1254_13130	-5.16229481160509	3.53414051481035e-30	Downregulated
B. breve	BBBR_1616	-5.65029337348642	3.87186331982169e-30	Downregulated
B. bifidum	BbifJCM1254_06980	-5.02968419954283	4.13794103583374e-30	Downregulated
B. bifidum	BbifJCM1254_05150	-4.90323859427076	4.42425799097887e-30	Downregulated
B. bifidum	BbifJCM1254_03710	-5.18108801215476	4.42425799097887e-30	Downregulated
B. breve	BBBR_1064	-8.34480996099088	4.97000226282056e-30	Downregulated
B. bifidum	BbifJCM1254_06360	-7.43521293792363	5.27404876640777e-30	Downregulated
B. breve	BBBR_0415	-6.80990572817919	5.54441670051706e-30	Downregulated
B. breve	BBBR_1185	-7.03393404707263	6.07116396748109e-30	Downregulated
B. bifidum	BbifJCM1254_14530	-5.43767872240067	6.57078249833113e-30	Downregulated
B. breve	BBBR_1199	-6.66949736199338	7.44682661895441e-30	Downregulated
B. breve	BBBR_0053	-7.28276032322479	9.05175381072621e-30	Downregulated
B. infantis	Blon_2420	-4.38350296666044	9.69527010418771e-30	Downregulated
B. bifidum	BbifJCM1254_09110	-4.30544948421923	1.07862738377706e-29	Downregulated
B. bifidum	BbifJCM1254_06310	-4.82918447379701	1.27565417384525e-29	Downregulated
B. bifidum	BbifJCM1254_06370	-7.10143917512438	1.32918229626043e-29	Downregulated
B. breve	BBBR_0697	-7.00072374770187	1.56318021135894e-29	Downregulated
B. breve	BBBR_0056	-7.94183330389933	1.65494751796915e-29	Downregulated
B. breve	BBBR_0961	-6.95591426764872	2.1640941266596e-29	Downregulated
B. breve	BBBR_1590	-6.75575149078828	2.17008004896564e-29	Downregulated
B. bifidum	BbifJCM1254_08660	-4.28592271305626	2.26878743483406e-29	Downregulated
B. breve	BBBR_1055	-7.5097682283735	2.39677209445802e-29	Downregulated
B. breve	BBBR_1589	-5.15967859016223	2.64872539296595e-29	Downregulated
B. bifidum	BbifJCM1254_07720	-5.28142603585825	3.62719096096718e-29	Downregulated
B. bifidum	BbifJCM1254_09190	-5.08913909623012	4.64999857105174e-29	Downregulated
B. bifidum	BbifJCM1254_03950	-5.49133805805776	5.05716327100474e-29	Downregulated
B. breve	BBBR_1191	-5.60134166642392	5.42206669526495e-29	Downregulated
B. bifidum	BbifJCM1254_00810	-5.67414128990234	6.5608208715995e-29	Downregulated
B. breve	BBBR_1820	-7.2449563468275	7.35645833091982e-29	Downregulated
B. bifidum	BbifJCM1254_05570	-4.63955881239515	8.5099844518992e-29	Downregulated
B. bifidum	BbifJCM1254_15690	-5.92838458647563	1.04684692923086e-28	Downregulated
B. breve	BBBR_0451	-6.48822308383967	1.04684692923086e-28	Downregulated
B. breve	BBBR_0262	-5.22480447313086	1.35027759794792e-28	Downregulated
B. breve	BBBR_1813	-7.3846358036632	1.3640080601754e-28	Downregulated
B. bifidum	BbifJCM1254_05060	-4.93713907416305	1.92620674499859e-28	Downregulated
B. breve	BBBR_0649	-7.63476890842658	2.00751164218513e-28	Downregulated
B. breve	BBBR_1776	-5.39563186342507	2.19129094786221e-28	Downregulated
B. breve	BBBR_0536	-5.68638460843338	2.37010075772608e-28	Downregulated
B. bifidum	BbifJCM1254_13540	-4.65273148004331	2.51523511965995e-28	Downregulated
B. bifidum	BbifJCM1254_09550	-4.98422625605071	2.69397063743286e-28	Downregulated
B. breve	BBBR_1606	-6.68050952942774	3.13054562803323e-28	Downregulated
B. bifidum	BbifJCM1254_14840	-4.17769262776764	3.13160224870173e-28	Downregulated
B. breve	BBBR_1232	-5.05259720883986	3.49365859876834e-28	Downregulated
B. breve	BBBR_0439	-7.47258022542692	4.2080961669275e-28	Downregulated
B. bifidum	BbifJCM1254_17440	-4.23397803624102	4.29864670683563e-28	Downregulated
B. bifidum	BbifJCM1254_15210	-4.61942768478931	4.85120920225804e-28	Downregulated
B. bifidum	BbifJCM1254_13190	-5.8442783984679	5.04710170659053e-28	Downregulated
B. breve	BBBR_0971	-7.57236779631783	5.6056532294932e-28	Downregulated
B. breve	BBBR_0763	-5.88934916037959	6.11805254071777e-28	Downregulated
B. bifidum	BbifJCM1254_11210	-5.81841654468227	6.2563893168135e-28	Downregulated
B. breve	BBBR_1357	-6.22158568714458	6.86897631621629e-28	Downregulated
B. breve	BBBR_0726	-7.07087412377586	8.05971346909214e-28	Downregulated
B. breve	BBBR_0712	-7.86233794829565	8.14944928180112e-28	Downregulated
B. bifidum	BbifJCM1254_07870	-4.38943720915716	9.64131716696708e-28	Downregulated
B. breve	BBBR_1637	-6.29476717876761	1.13608190905515e-27	Downregulated
B. breve	BBBR_0670	-8.0899137345812	1.20011289855196e-27	Downregulated
B. breve	BBBR_1322	-6.40038498916307	1.61442920290941e-27	Downregulated
B. breve	BBBR_1727	-5.54555422997312	1.71205635882473e-27	Downregulated
B. breve	BBBR_0874	-6.67092509381878	1.76709588914223e-27	Downregulated
B. bifidum	BbifJCM1254_05840	-5.58866552062802	1.83282296628438e-27	Downregulated
B. breve	BBBR_1812	-7.04628001925028	2.23243834507799e-27	Downregulated
B. breve	BBBR_0414	-6.93723804650232	2.41087426220863e-27	Downregulated
B. breve	BBBR_0470	-6.38069267005592	2.41087426220863e-27	Downregulated
B. breve	BBBR_0887	-6.10558681684561	2.42286520970984e-27	Downregulated
B. bifidum	BbifJCM1254_12810	-5.134385719541	2.71755793930318e-27	Downregulated
B. infantis	Blon_1087	-4.92520917248394	2.74620077817216e-27	Downregulated
B. bifidum	BbifJCM1254_13270	-5.57453182989792	2.91237473631445e-27	Downregulated
B. bifidum	BbifJCM1254_14950	-4.79118989627536	3.18199641365477e-27	Downregulated
B. breve	BBBR_0250	-6.16786275231986	3.29230786604254e-27	Downregulated
B. bifidum	BbifJCM1254_09570	-4.33181449064969	3.43177861075576e-27	Downregulated
B. breve	BBBR_0022	-4.51090703150787	3.85541505501395e-27	Downregulated
B. bifidum	BbifJCM1254_14630	-5.39930117045128	3.860788813034e-27	Downregulated
B. breve	BBBR_0682	-6.4299828265169	4.13836760710573e-27	Downregulated
B. breve	BBBR_1195	-7.68151966772048	4.17045187984572e-27	Downregulated
B. breve	BBBR_0399	-7.48985335378951	4.26320104958945e-27	Downregulated
B. breve	BBBR_1236	-5.39439360489054	4.36281214420434e-27	Downregulated
B. bifidum	BbifJCM1254_02460	-4.8359951928167	4.64928261919223e-27	Downregulated
B. bifidum	BbifJCM1254_17400	-6.85487398580932	4.90799013442509e-27	Downregulated
B. breve	BBBR_1538	-7.01939007024455	4.90799013442509e-27	Downregulated
B. breve	BBBR_0710	-4.12538015178954	5.41192544687411e-27	Downregulated
B. breve	BBBR_0526	-6.44922977341507	5.41192544687411e-27	Downregulated
B. breve	BBBR_1653	-6.71956864199569	5.47203656366749e-27	Downregulated
B. bifidum	BbifJCM1254_09080	-5.23052444468969	5.6337885008477e-27	Downregulated
B. breve	BBBR_1756	-6.97086928530943	5.70774121649113e-27	Downregulated
B. bifidum	BbifJCM1254_11330	-3.89973277873284	6.19405620086251e-27	Downregulated
B. breve	BBBR_0489	-8.14711570052711	6.23292089605995e-27	Downregulated
B. breve	BBBR_1902	-8.30912334665069	6.25103057263349e-27	Downregulated
B. infantis	Blon_0513	-6.38015607936161	8.87414888951009e-27	Downregulated
B. infantis	Blon_2270	-6.55092578077478	8.9751930807654e-27	Downregulated
B. bifidum	BbifJCM1254_15790	-5.12176773320696	9.78462019947769e-27	Downregulated
B. bifidum	BbifJCM1254_07580	-3.20764905284019	9.89470569568002e-27	Downregulated
B. breve	BBBR_0164	-5.31639118658288	1.08712471382222e-26	Downregulated
B. breve	BBBR_1317	-6.60823654776046	1.10584266898842e-26	Downregulated
B. bifidum	BbifJCM1254_14120	-5.49691131569304	1.14887980834668e-26	Downregulated
B. bifidum	BbifJCM1254_08910	-4.40570186457032	1.17783248692629e-26	Downregulated
B. bifidum	BbifJCM1254_16280	-5.30171127163059	1.23351406599517e-26	Downregulated
B. bifidum	BbifJCM1254_13010	-4.78395520151976	1.24684816579366e-26	Downregulated
B. breve	BBBR_0882	-6.36249428782791	1.28514292002655e-26	Downregulated
B. breve	BBBR_0256	-6.920172151474	1.70973399712666e-26	Downregulated
B. bifidum	BbifJCM1254_01100	-4.28591292474177	1.80374963137282e-26	Downregulated
B. breve	BBBR_1921	-7.64211651745436	1.87889457752375e-26	Downregulated
B. breve	BBBR_0071	-7.32976849168541	2.19881046772184e-26	Downregulated
B. bifidum	BbifJCM1254_12610	-4.96241132086623	2.21734486830213e-26	Downregulated
B. breve	BBBR_1090	-4.80931126846664	2.51937957172694e-26	Downregulated
B. breve	BBBR_0627	-6.5821660974526	3.03147823087405e-26	Downregulated
B. bifidum	BbifJCM1254_02260	-5.15521319168038	3.10613799736537e-26	Downregulated
B. breve	BBBR_0615	-6.84071577755326	3.34272679735733e-26	Downregulated
B. breve	BBBR_0264	-4.99728482775178	3.66576913851931e-26	Downregulated
B. bifidum	BbifJCM1254_00820	-5.03484614123102	4.00433215823004e-26	Downregulated
B. breve	BBBR_1634	-6.0035723066606	4.59791394812414e-26	Downregulated
B. bifidum	BbifJCM1254_12910	-4.75982661516275	4.87380255789052e-26	Downregulated
B. breve	BBBR_1883	-7.6558151252179	5.17728866677042e-26	Downregulated
B. breve	BBBR_0579	-6.92930944605582	5.48842188134888e-26	Downregulated
B. bifidum	BbifJCM1254_03680	-5.51760424349333	5.803293702385e-26	Downregulated
B. bifidum	BbifJCM1254_10390	-8.01830790003546	6.68953957702646e-26	Downregulated
B. breve	BBBR_0172	-7.60470427850717	7.63886108723538e-26	Downregulated
B. breve	BBBR_1626	-6.46258702327205	7.85026844362889e-26	Downregulated
B. breve	BBBR_1002	-6.65424685764463	7.85026844362889e-26	Downregulated
B. breve	BBBR_1745	-11.9643770210618	8.1260543379101e-26	Downregulated
B. bifidum	BbifJCM1254_02130	-4.47684249139091	8.57716244293008e-26	Downregulated
B. breve	BBBR_1435	-5.03301940471215	9.36399091991528e-26	Downregulated
B. breve	BBBR_0428	-7.17906286998944	9.88004326025058e-26	Downregulated
B. bifidum	BbifJCM1254_03780	-6.15401758645739	1.01813518909865e-25	Downregulated
B. breve	BBBR_0590	-5.13731377758571	1.04311419646466e-25	Downregulated
B. bifidum	BbifJCM1254_15080	-6.64563458470658	1.06533268132816e-25	Downregulated
